World_cinema,Remaked_tamil,genre,rating
Roman Holiday,May Madham,"Comedy, Romance",8.0
The Sound of Music,Shanthi Nilayam ,"Biography, Drama, Family",8.0
I girasoli,Roja ,"Drama, War",7.4
Very Bad Things,Panchatantram ,"Comedy, Crime, Thriller",6.4
Derailed,Pachaikili Muthucharam ,"Crime, Drama, Thriller",6.6
Memento,Ghajini ,"Mystery, Thriller",8.4
Mrs. Doubtfire,Avvai Shanmugi ,"Comedy, Drama, Family",7.0
What About Bob?,Thenali ,Comedy,7.0
Tsotsi,Yogi ,"Crime, Drama",7.2
Hardcore,Mahanadi ,"Crime, Drama",7.0
Taken,Virudhagiri ,"Action, Thriller",7.8
Brewster's Millions,Arunachalam,Comedy,6.5
"Planes, Trains & Automobiles",Anbe Sivam ,"Comedy, Drama",7.6
I Am Sam,Deiva Thirumagal ,Drama,7.7
Al di là delle nuvole,Autograph ,"Drama, Romance",6.5
Judgment Night,Saroja ,"Action, Crime, Drama",6.7
Moon Over Parador,Indiran Chandiran ,"Comedy, Romance",6.0
The Corsican Brothers,Neerum Neruppum ,"Adventure, Romance",6.5
The Reincarnation of Peter Proud,Enakkul Oruvan,"Horror, Mystery",6.5
Nine to Five,Magalir Mattum ,Comedy,6.8
Misery,Julie Ganapathi ,"Drama, Thriller",7.8
Two Much,Naam Iruvar Namakku Iruvar ,"Comedy, Romance",5.4
She-Devil,Sathi Leelavathi ,Comedy,5.7
Witness,Soora Samhaaram ,"Crime, Drama, Romance",7.4
Green Card,Nala Damayanthi ,"Comedy, Drama, Romance",6.2
Micki + Maude,Rettai Vaal Kuruvi ,"Comedy, Romance",6.0
Dip huet seung hung,Rishi ,"Action, Crime, Drama",7.8
Red Corner,Dhaam Dhoom ,"Crime, Drama, Thriller",6.3
To Each His Own,Sivagamiyin Selvan ,"Drama, Romance",7.7
The Principal,Nammavar ,"Action, Crime, Drama",6.3
Rage of Angels,Makkal en Pakkam ,"Action, Drama, Adventure",6.1
The Bank Job,Naanayam ,"Crime, Thriller",7.2
One Flew Over the Cuckoo's Nest,Manasukkul Mathappu ,Drama,8.7
Falling Down,Evano Oruvan ,"Action, Crime, Drama",7.6
Changing Lanes,TN-07 AL 4777 ,"Drama, Thriller",6.4
The Parent Trap,Kuzhandaiyum Deivamum ,"Comedy, Family, Romance",7.1
Coming to America,My Dear Marthandan ,"Comedy, Romance",7.0
No Man of Her Own,Nenjil Oru Mul ,"Drama, Film-Noir",7.4
Son-Rise: A Miracle of Love,Anjali ,Drama,7.6
On the Line,Enakku 20 Unakku 18 ,"Comedy, Family, Romance",4.2
There's Something About Mary,Pavalakodi ,"Comedy, Romance",7.1
I Hired a Contract Killer,Bale Pandiya ,"Comedy, Drama, Romance",7.2
A zori zdes tikhie,Peranmai ,"Drama, History, War",8.2
Gau ngao gau,Mynaa ,"Action, Crime, Drama",6.6
Making Mr. Right,Endhiran ,"Comedy, Romance, Sci-Fi",5.4
Kikujirô no natsu,Nandalala ,"Drama, Comedy",7.8
Love in the Afternoon,Engeyum Kaadhal ,"Comedy, Crime, Drama",7.2
Butterflies Are Free,Raja Paarvai ,"Comedy, Drama, Music",7.2
¡Átame!,Guna ,"Comedy, Crime, Drama",7.0
Léon,Suryaparvai ,"Action, Crime, Drama",8.5
Disclosure,Indira Vizha ,"Drama, Thriller",6.1
Shooter,Vaada ,"Action, Drama, Thriller",7.2
The Bachelor,Pammal K. Sambandam ,"Comedy, Romance",5.0
Predator,Asuran ,"Action, Adventure, Sci-Fi",7.8
Sense and Sensibility,Kandukondain Kandukondain ,"Drama, Romance",7.6
Cellular,Vegam ,"Action, Crime, Thriller",6.5
"Yours, Mine and Ours",Mazhalai Pattalam ,"Comedy, Family",7.2
Carlito's Way,Nagaram Marupakkam ,"Crime, Drama, Thriller",7.9
Father of the Bride,Abhiyum Naanum ,"Comedy, Family, Romance",6.5
Ruthless People,Sariyana Jodi ,"Comedy, Crime",6.9
A Little Romance,Panneer Pushpangal ,"Adventure, Comedy, Romance",7.5
Mr. Deeds Goes to Town,Nallathambi ,"Comedy, Drama, Romance",7.9
Romance on the High Seas,Manmadan Ambu ,"Comedy, Musical, Romance",7.0
Strangers on a Train,Muran ,"Crime, Film-Noir, Thriller",8.0
Big,New ,"Comedy, Drama, Fantasy",7.3
Keulraesik,Chikku Bhukku ,"Drama, Romance",7.8
Bangkok Dangerous,Pattiyal,"Action, Crime, Drama",6.6
Urban Legend,Whistle ,"Horror, Mystery, Thriller",5.6
Dial M for Murder,Saavi ,"Crime, Thriller",8.2
The Dirty Dozen,Jai Hind ,"Action, Adventure, War",7.7
3 Men and a Baby,Asathal ,"Comedy, Drama, Family",6.0
Wasabi,Jaggubhai ,"Action, Drama, Comedy",6.7
Captain Blood,Aayirathil Oruvan ,"Action, Adventure",7.7
Guess Who,Kannamoochi Yenada ,"Comedy, Romance",5.9
Alone,Chaarulatha ,"Drama, Horror, Thriller",6.5
Here Comes Mr. Jordan,It was remade as Heaven Can Wait ,"Comedy, Fantasy, Romance",7.6
Viva Zapata!,Nadodi Mannan ,"Biography, Drama, History",7.4
Baby's Day Out,Chutti Kuzhandai ,"Adventure, Comedy, Crime",6.1
The Thomas Crown Affair,Kangalal Kaidhu Sei ,"Crime, Romance, Thriller",6.8
Addicted to Love,Azhagai Irukkirai Bayamai Irukkirathu ,"Comedy, Romance",6.1
Charlie's Angels,Three Roses ,"Action, Adventure, Comedy",5.5
Banco à Bangkok pour OSS 117,Vallavan Oruvan ,"Action, Adventure, Thriller",5.5
Furia à Bahia pour OSS 117,CID Shankar ,"Action, Adventure, Thriller",5.7
The Brass Bottle,Pattanathil Bhootham,"Comedy, Fantasy",6.4
For Love or Money,Guru En Aalu ,"Comedy, Drama, Romance",6.2
The Thief of Bagdad,Baghdad Thirudan ,"Adventure, Family, Fantasy",7.7
A Place in the Sun,Avana Ivan ,"Drama, Romance",7.8
Chase a Crooked Shadow,Puthiya Paravai ,"Crime, Mystery, Thriller",7.1
Come September,Anbe Vaa ,"Comedy, Romance",7.0
A Fish Called Wanda,London ,"Comedy, Crime",7.5
Unknown,Yaarukku Theriyum,"Crime, Drama, Mystery",6.5
Juyuso seubgyuksageun,Moodar Koodam ,Comedy,7.0
Following,Vaamanan ,"Crime, Mystery, Thriller",7.5
Cyrano de Bergerac,Duet ,"Comedy, Drama, History",7.5
The Bridges of Madison County,Pokkisham ,"Drama, Romance",7.6
Gladiator,Dorai ,"Action, Adventure, Drama",8.5
Primal Fear,Kadhal Kirukkan ,"Crime, Drama, Mystery",7.7
Katakuri-ke no kôfuku,Yaamirukka Bayamey,"Comedy, Fantasy, Horror",7.1
The Fugitive,Ellame En Kaadhali ,"Action, Crime, Drama",7.8
Multiplicity,Vyabari ,"Comedy, Romance, Sci-Fi",6.1
